course_order,course,order,word,type,turkish,english
1,Pozdravljanje i osnovna komunikacija,1,Dobro jutro,Phrase,Günaydın,Good morning
1,Pozdravljanje i osnovna komunikacija,2,Dobar dan,Phrase,İyi günler,Good day / Good afternoon
1,Pozdravljanje i osnovna komunikacija,3,Dobro veče,Phrase,İyi akşamlar,Good evening
1,Pozdravljanje i osnovna komunikacija,4,Doviđenja,Phrase,Hoşça kalın,Goodbye
1,Pozdravljanje i osnovna komunikacija,5,Prijatno,Phrase,İyi günler / Hoşça kalın,Have a nice day / Goodbye
1,Pozdravljanje i osnovna komunikacija,6,Zdravo,Phrase,Merhaba,Hello / Hi
1,Pozdravljanje i osnovna komunikacija,7,Ćao,Phrase,Merhaba / Hoşça kal,Hi / Bye
1,Pozdravljanje i osnovna komunikacija,8,Vidimo se,Phrase,Görüşürüz,See you
1,Pozdravljanje i osnovna komunikacija,9,Hvala,Phrase,Teşekkürler,Thank you
1,Pozdravljanje i osnovna komunikacija,10,Izvolite,Phrase,Buyrunuz,Here you go / Please
1,Pozdravljanje i osnovna komunikacija,11,Izvini,Phrase,Özür dilerim,Excuse me / Sorry
1,Pozdravljanje i osnovna komunikacija,12,Drago mi je,Phrase,Memnun oldum,Nice to meet you
1,Pozdravljanje i osnovna komunikacija,13,Dobro došli,Phrase,Hoş geldiniz,Welcome
3,Odrični oblici i gramatika,1,nisam,Verb,Değilim,I am not
3,Odrični oblici i gramatika,2,nisi,Verb,Değilsin,You are not
3,Odrični oblici i gramatika,3,nije,Verb,Değil,He/She/It is not
3,Odrični oblici i gramatika,4,nismo,Verb,Değiliz,We are not
3,Odrični oblici i gramatika,5,niste,Verb,Değilsiniz,You are not
3,Odrični oblici i gramatika,6,nisu,Verb,Değiller,They are not
3,Odrični oblici i gramatika,7,bio je,Verb,O (erkek) idi,He was
3,Odrični oblici i gramatika,8,bila je,Verb,O (kadın) idi,She was
3,Odrični oblici i gramatika,9,jednina,Grammar term,Tekil,Singular
3,Odrični oblici i gramatika,10,množina,Grammar term,Çoğul,Plural
3,Odrični oblici i gramatika,11,muški rod,Grammar term,Eril cinsiyet,Masculine gender
3,Odrični oblici i gramatika,12,ženski rod,Grammar term,Dişil cinsiyet,Feminine gender
3,Odrični oblici i gramatika,13,srednji rod,Grammar term,Nötr cinsiyet,Neuter gender
3,Odrični oblici i gramatika,14,meki glasovi,Grammar term,Yumuşak sesler,Soft sounds
3,Odrični oblici i gramatika,15,tvrdi glasovi,Grammar term,Sert sesler,Hard sounds
4,Porodica i rodbina 1,1,porodica,Noun (f, sg),Aile,Family
4,Porodica i rodbina 1,2,otac,Noun (m, sg),Baba,Father
4,Porodica i rodbina 1,3,tata,Noun (m, sg),Baba,Dad
4,Porodica i rodbina 1,4,majka,Noun (f, sg),Anne,Mother
4,Porodica i rodbina 1,5,mama,Noun (f, sg),Anne,Mom
4,Porodica i rodbina 1,6,roditelji,Noun (m, pl),Ebeveynler,Parents
4,Porodica i rodbina 1,7,sin,Noun (m, sg),Oğul,Son
4,Porodica i rodbina 1,8,sinovi,Noun (m, pl),Oğullar,Sons
4,Porodica i rodbina 1,9,ćerka,Noun (f, sg),Kız evlat,Daughter
4,Porodica i rodbina 1,10,brat,Noun (m, sg),Erkek kardeş,Brother
4,Porodica i rodbina 1,11,braća,Noun (pl collective),Erkek kardeşler,Brothers
4,Porodica i rodbina 1,12,sestra,Noun (f, sg),Kız kardeş,Sister
4,Porodica i rodbina 1,13,sestre,Noun (f, pl),Kız kardeşler,Sisters
4,Porodica i rodbina 1,14,dete,Noun (n, sg),Çocuk,Child
4,Porodica i rodbina 1,15,deca,Noun (pl collective),Çocuklar,Children
5,Porodica i rodbina 2,1,deda,Noun (m, sg),Büyükbaba / dede,Grandfather
5,Porodica i rodbina 2,2,baka,Noun (f, sg),Büyükanne / nine,Grandmother
5,Porodica i rodbina 2,3,unuk,Noun (m, sg),Erkek torun,Grandson
5,Porodica i rodbina 2,4,unuci,Noun (m, pl),Erkek torunlar,Grandsons
5,Porodica i rodbina 2,5,muž,Noun (m, sg),Koca / eş,Husband
5,Porodica i rodbina 2,6,muževi,Noun (m, pl),Kocalar / eşler,Husbands
5,Porodica i rodbina 2,7,žena,Noun (f, sg),Kadın / eş,Woman / wife
5,Porodica i rodbina 2,8,žene,Noun (f, pl),Kadınlar / eşler,Women / wives
5,Porodica i rodbina 2,9,snaja,Noun (f, sg),Gelin,Daughter-in-law / sister-in-law
5,Porodica i rodbina 2,10,zet,Noun (m, sg),Damat,Son-in-law / brother-in-law
5,Porodica i rodbina 2,11,zetovi,Noun (m, pl),Damatlar,Sons-in-law
5,Porodica i rodbina 2,12,venčanje,Noun (n, sg),Düğün / evlilik töreni,Wedding
5,Porodica i rodbina 2,13,udata,Adjective (f),Evli (kadın),Married (female)
5,Porodica i rodbina 2,14,neudata,Adjective (f),Bekâr (kadın),Unmarried (female)
5,Porodica i rodbina 2,15,rođendan,Noun (m, sg),Doğum günü,Birthday
6,Prijatelji i društvo,1,prijatelj,Noun (m, sg),Arkadaş / dost,Friend
6,Prijatelji i društvo,2,prijatelji,Noun (m, pl),Arkadaşlar / dostlar,Friends
6,Prijatelji i društvo,3,drug,Noun (m, sg),Erkek arkadaş,Friend (male)
6,Prijatelji i društvo,4,drugovi,Noun (m, pl),Erkek arkadaşlar,Friends (male/mixed)
6,Prijatelji i društvo,5,drugarica,Noun (f, sg),Kadın arkadaş,Female friend
6,Prijatelji i društvo,6,drugarice,Noun (f, pl),Kadın arkadaşlar,Female friends
6,Prijatelji i društvo,7,kolega,Noun (m, sg),Meslektaş,Colleague (male)
6,Prijatelji i društvo,8,kolege,Noun (m, pl),Meslektaşlar,Colleagues
6,Prijatelji i društvo,9,komšija,Noun (m, sg),Erkek komşu,Neighbor (male)
6,Prijatelji i društvo,10,komšinica,Noun (f, sg),Kadın komşu,Neighbor (female)
6,Prijatelji i društvo,11,gost,Noun (m, sg),Misafir / konuk,Guest
6,Prijatelji i društvo,12,društvo,Noun (n, sg),Arkadaş grubu / cemiyet,Company of friends / society
6,Prijatelji i društvo,13,druženje,Noun (n, sg),Sosyalleşme,Socializing
6,Prijatelji i društvo,14,gostoprimstvo,Noun (n, sg),Misafirperverlik,Hospitality
6,Prijatelji i društvo,15,osoba,Noun (f, sg),Kişi / şahıs,Person
7,Zanimanja i obrazovanje 1,1,lekar,Noun (m, sg),Erkek doktor,Doctor (male)
7,Zanimanja i obrazovanje 1,2,lekari,Noun (m, pl),Doktorlar,Doctors
7,Zanimanja i obrazovanje 1,3,lekarka,Noun (f, sg),Kadın doktor,Doctor (female)
7,Zanimanja i obrazovanje 1,4,profesor,Noun (m, sg),Erkek profesör / öğretmen,Professor / teacher (male)
7,Zanimanja i obrazovanje 1,5,profesorica,Noun (f, sg),Kadın profesör / öğretmen,Professor / teacher (female)
7,Zanimanja i obrazovanje 1,6,profesorice,Noun (f, pl),Kadın öğretmenler,Female teachers
7,Zanimanja i obrazovanje 1,7,student,Noun (m, sg),Erkek üniversite öğrencisi,University student (male)
7,Zanimanja i obrazovanje 1,8,studenti,Noun (m, pl),Üniversite öğrencileri,University students
7,Zanimanja i obrazovanje 1,9,studentkinja,Noun (f, sg),Kız üniversite öğrencisi,University student (female)
7,Zanimanja i obrazovanje 1,10,studentkinje,Noun (f, pl),Kız üniversite öğrencileri,Female university students
7,Zanimanja i obrazovanje 1,11,učenik,Noun (m, sg),Erkek öğrenci (okul),Pupil (male)
7,Zanimanja i obrazovanje 1,12,učenici,Noun (m, pl),Erkek öğrenciler,Pupils (male)
7,Zanimanja i obrazovanje 1,13,učenica,Noun (f, sg),Kız öğrenci (okul),Pupil (female)
7,Zanimanja i obrazovanje 1,14,učenice,Noun (f, pl),Kız öğrenciler,Pupils (female)
7,Zanimanja i obrazovanje 1,15,inženjer,Noun (m, sg),Erkek mühendis,Engineer (male)
8,Zanimanja i profesije 2,1,inženjerka,Noun (f, sg),Kadın mühendis,Engineer (female)
8,Zanimanja i profesije 2,2,direktor,Noun (m, sg),Müdür,Director / manager
8,Zanimanja i profesije 2,3,menadžer,Noun (m, sg),Erkek yönetici,Manager (male)
8,Zanimanja i profesije 2,4,menadžerka,Noun (f, sg),Kadın yönetici,Manager (female)
8,Zanimanja i profesije 2,5,novinar,Noun (m, sg),Erkek gazeteci,Journalist (male)
8,Zanimanja i profesije 2,6,novinarka,Noun (f, sg),Kadın gazeteci,Journalist (female)
8,Zanimanja i profesije 2,7,glumac,Noun (m, sg),Erkek oyuncu / aktör,Actor
8,Zanimanja i profesije 2,8,glumica,Noun (f, sg),Kadın oyuncu / aktris,Actress
8,Zanimanja i profesije 2,9,reditelj,Noun (m, sg),Yönetmen,Director (film/theatre)
8,Zanimanja i profesije 2,10,pisac,Noun (m, sg),Yazar,Writer
8,Zanimanja i profesije 2,11,pesnik,Noun (m, sg),Şair,Poet
8,Zanimanja i profesije 2,12,pesnici,Noun (m, pl),Şairler,Poets
8,Zanimanja i profesije 2,13,naučnik,Noun (m, sg),Bilim insanı (erkek),Scientist (male)
8,Zanimanja i profesije 2,14,naučnici,Noun (m, pl),Bilim insanları,Scientists
8,Zanimanja i profesije 2,15,diplomata,Noun (m, sg),Erkek diplomat,Diplomat (male)
9,Zanimanja i zanati 3,1,diplomatkinja,Noun (f, sg),Kadın diplomat,Diplomat (female)
9,Zanimanja i zanati 3,2,ekonomista,Noun (m, sg),Erkek ekonomist,Economist (male)
9,Zanimanja i zanati 3,3,ekonomistkinja,Noun (f, sg),Kadın ekonomist,Economist (female)
9,Zanimanja i zanati 3,4,kuvar,Noun (m, sg),Erkek aşçı,Cook / chef (male)
9,Zanimanja i zanati 3,5,kuvarica,Noun (f, sg),Kadın aşçı,Cook / chef (female)
9,Zanimanja i zanati 3,6,konobar,Noun (m, sg),Garson,Waiter
9,Zanimanja i zanati 3,7,frizer,Noun (m, sg),Erkek berber / kuaför,Hairdresser (male)
9,Zanimanja i zanati 3,8,frizerka,Noun (f, sg),Kadın kuaför,Hairdresser (female)
9,Zanimanja i zanati 3,9,policajac,Noun (m, sg),Erkek polis,Police officer (male)
9,Zanimanja i zanati 3,10,policajka,Noun (f, sg),Kadın polis,Police officer (female)
9,Zanimanja i zanati 3,11,vatrogasac,Noun (m, sg),İtfaiyeci,Firefighter
9,Zanimanja i zanati 3,12,majstor,Noun (m, sg),Usta / tamirci,Master craftsman / repairman
9,Zanimanja i zanati 3,13,automehaničar,Noun (m, sg),Oto tamircisi,Car mechanic
9,Zanimanja i zanati 3,14,stjuardesa,Noun (f, sg),Hostes,Flight attendant
9,Zanimanja i zanati 3,15,ronilac,Noun (m, sg),Dalgıç,Diver
10,Posao i karijera,1,posao,Noun (m, sg),İş,Job / work
10,Posao i karijera,2,zanimanje,Noun (n, sg),Meslek,Profession / occupation
10,Posao i karijera,3,radna nedelja,Phrase,Çalışma haftası,Work week
10,Posao i karijera,4,plata,Noun (f, sg),Maaş / ücret,Salary / wage
10,Posao i karijera,5,pauza,Noun (f, sg),Mola / ara,Break / pause
10,Posao i karijera,6,raditi,Verb,Çalışmak / yapmak,To work / do
10,Posao i karijera,7,zaposlen,Adjective,Çalışan / istihdam edilmiş,Employed
10,Posao i karijera,8,penzioner,Noun (m, sg),Emekli,Pensioner / retiree
10,Posao i karijera,9,domaćica,Noun (f, sg),Ev hanımı,Housewife / homemaker
10,Posao i karijera,10,ugovor,Noun (m, sg),Sözleşme,Contract
10,Posao i karijera,11,potpisati,Verb,İmzalamak,To sign
10,Posao i karijera,12,zaraditi,Verb,Kazanmak (para),To earn (money)
10,Posao i karijera,13,poslovni,Adjective,İşle ilgili / ticari,Business-related
10,Posao i karijera,14,poslovni prostor,Phrase,İş yeri / ofis alanı,Commercial space
10,Posao i karijera,15,fakultetska diploma,Phrase,Üniversite diploması,University diploma
11,Hrana i osnovne namirnice,1,hrana,Noun (f, sg),Yemek / yiyecek,Food
11,Hrana i osnovne namirnice,2,hleb,Noun (m, sg),Ekmek,Bread
11,Hrana i osnovne namirnice,3,hlebovi,Noun (m, pl),Ekmekler,Breads
11,Hrana i osnovne namirnice,4,sir,Noun (m, sg),Peynir,Cheese
11,Hrana i osnovne namirnice,5,sirevi,Noun (m, pl),Peynirler,Cheeses
11,Hrana i osnovne namirnice,6,meso,Noun (n, sg),Et,Meat
11,Hrana i osnovne namirnice,7,jaje,Noun (n, sg),Yumurta,Egg
11,Hrana i osnovne namirnice,8,so,Noun (f, sg),Tuz,Salt
11,Hrana i osnovne namirnice,9,biber,Noun (m, sg),Biber (baharat),Pepper (spice)
11,Hrana i osnovne namirnice,10,pirinač,Noun (m, sg),Pirinç,Rice
11,Hrana i osnovne namirnice,11,kobasica,Noun (f, sg),Sosis / sucuk,Sausage
11,Hrana i osnovne namirnice,12,pršuta,Noun (f, sg),Kuru jambon / prosciutto,Prosciutto
11,Hrana i osnovne namirnice,13,maslina,Noun (f, sg),Zeytin,Olive
11,Hrana i osnovne namirnice,14,med,Noun (m, sg),Bal,Honey
11,Hrana i osnovne namirnice,15,grožđe,Noun (n, collective),Üzüm,Grapes
12,Voće i povrće,1,voće,Noun (n, collective),Meyve,Fruit
12,Voće i povrće,2,povrće,Noun (n, collective),Sebze,Vegetables
12,Voće i povrće,3,jabuka,Noun (f, sg),Elma,Apple
12,Voće i povrće,4,kruška,Noun (f, sg),Armut,Pear
12,Voće i povrće,5,šljiva,Noun (f, sg),Erik,Plum
12,Voće i povrće,6,trešnja,Noun (f, sg),Kiraz,Cherry
12,Voće i povrće,7,kajsija,Noun (f, sg),Kayısı,Apricot
12,Voće i povrće,8,dunja,Noun (f, sg),Ayva,Quince
12,Voće i povrće,9,krompir,Noun (m, sg),Patates,Potato
12,Voće i povrće,10,paradajz,Noun (m, sg),Domates,Tomato
12,Voće i povrće,11,paprika,Noun (f, sg),Biber (sebze),Bell pepper
12,Voće i povrće,12,luk,Noun (m, sg),Soğan,Onion
12,Voće i povrće,13,kupus,Noun (m, sg),Lahana,Cabbage
12,Voće i povrće,14,grašak,Noun (m, sg),Bezelye,Peas
12,Voće i povrće,15,boranija,Noun (f, sg),Taze yeşil fasulye,Green beans
13,Obedi i priprema hrane,1,doručak,Noun (m, sg),Kahvaltı,Breakfast
13,Obedi i priprema hrane,2,doručkovati,Verb,Kahvaltı yapmak,To have breakfast
13,Obedi i priprema hrane,3,ručak,Noun (m, sg),Öğle yemeği,Lunch
13,Obedi i priprema hrane,4,ručati,Verb,Öğle yemeği yemek,To have lunch
13,Obedi i priprema hrane,5,večera,Noun (f, sg),Akşam yemeği,Dinner
13,Obedi i priprema hrane,6,večerati,Verb,Akşam yemeği yemek,To have dinner
13,Obedi i priprema hrane,7,nedeljni ručak,Phrase,Pazar öğle yemeği,Sunday lunch
13,Obedi i priprema hrane,8,predjelo,Noun (n, sg),Başlangıç / meze,Appetizer / starter
13,Obedi i priprema hrane,9,meze,Noun (n, sg),Meze,Meze / finger food
13,Obedi i priprema hrane,10,supa,Noun (f, sg),Duru çorba / et suyu,Soup / broth
13,Obedi i priprema hrane,11,čorba,Noun (f, sg),Çorba,Thick soup / chowder
13,Obedi i priprema hrane,12,pasulj,Noun (m, sg),Kuru fasulye,Beans
13,Obedi i priprema hrane,13,tikvica,Noun (f, sg),Kabak,Zucchini
13,Obedi i priprema hrane,14,roštilj,Noun (m, sg),Mangal / ızgara,Barbecue / grill
13,Obedi i priprema hrane,15,pita,Noun (f, sg),Börek / turta,Pie / pastry
14,Pića i poslastice,1,voda,Noun (f, sg),Su,Water
14,Pića i poslastice,2,obična voda,Phrase,Durgun / gazsız su,Plain / still water
14,Pića i poslastice,3,kisela voda,Phrase,Maden suyu,Mineral water
14,Pića i poslastice,4,sok,Noun (m, sg),Meyve suyu,Juice
14,Pića i poslastice,5,sokovi,Noun (m, pl),Meyve suları,Juices
14,Pića i poslastice,6,čaj,Noun (m, sg),Çay,Tea
14,Pića i poslastice,7,čajevi,Noun (m, pl),Çaylar,Teas
14,Pića i poslastice,8,mleko,Noun (n, sg),Süt,Milk
14,Pića i poslastice,9,jogurt,Noun (m, sg),Yoğurt,Yogurt
14,Pića i poslastice,10,pivo,Noun (n, sg),Bira,Beer
14,Pića i poslastice,11,vino,Noun (n, sg),Şarap,Wine
14,Pića i poslastice,12,rakija,Noun (f, sg),Rakija,Rakia / fruit brandy
14,Pića i poslastice,13,kolač,Noun (m, sg),Kek / pasta,Cake / pastry
14,Pića i poslastice,14,torta,Noun (f, sg),Yaş pasta,Cake / gateau
14,Pića i poslastice,15,čokolada,Noun (f, sg),Çikolata,Chocolate
15,Restoran i posluživanje,1,kafana,Noun (f, sg),Meyhane / restoran,Traditional tavern
15,Restoran i posluživanje,2,kafić,Noun (m, sg),Kafe,Café
15,Restoran i posluživanje,3,restoran,Noun (m, sg),Restoran,Restaurant
15,Restoran i posluživanje,4,jelovnik,Noun (m, sg),Yemek menüsü,Menu
15,Restoran i posluživanje,5,jelovnici,Noun (m, pl),Menüler,Menus
15,Restoran i posluživanje,6,naručiti,Verb,Sipariş vermek,To order
15,Restoran i posluživanje,7,služiti,Verb,Servis etmek,To serve
15,Restoran i posluživanje,8,porcija,Noun (f, sg),Porsiyon,Portion
15,Restoran i posluživanje,9,tanjir,Noun (m, sg),Tabak,Plate
15,Restoran i posluživanje,10,šolja,Noun (f, sg),Fincan,Cup / mug
15,Restoran i posluživanje,11,kašičica,Noun (f, sg),Çay kaşığı,Teaspoon
15,Restoran i posluživanje,12,flaša,Noun (f, sg),Şişe,Bottle
15,Restoran i posluživanje,13,švedski sto,Phrase,Açık büfe,Buffet
15,Restoran i posluživanje,14,palačinka,Noun (f, sg),Krep,Pancake / crepe
15,Restoran i posluživanje,15,štrudla,Noun (f, sg),Strudel (rulo tatlı),Strudel
16,Grad i lokacije 1,1,grad,Noun (m, sg),Şehir,City / town
16,Grad i lokacije 1,2,gradovi,Noun (m, pl),Şehirler,Cities / towns
16,Grad i lokacije 1,3,centar,Noun (m, sg),Merkez,Center
16,Grad i lokacije 1,4,trg,Noun (m, sg),Meydan,Square
16,Grad i lokacije 1,5,trgovi,Noun (m, pl),Meydanlar,Squares
16,Grad i lokacije 1,6,Trg republike,Proper Noun,Cumhuriyet Meydanı,Republic Square
16,Grad i lokacije 1,7,bulevar,Noun (m, sg),Bulvar,Boulevard
16,Grad i lokacije 1,8,ulica,Noun (f, sg),Sokak / cadde,Street
16,Grad i lokacije 1,9,park,Noun (m, sg),Park,Park
16,Grad i lokacije 1,10,parkovi,Noun (m, pl),Parklar,Parks
16,Grad i lokacije 1,11,zgrada,Noun (f, sg),Bina,Building
16,Grad i lokacije 1,12,banka,Noun (f, sg),Banka,Bank
16,Grad i lokacije 1,13,biblioteka,Noun (f, sg),Kütüphane,Library
16,Grad i lokacije 1,14,knjižara,Noun (f, sg),Kitapçı,Bookstore
16,Grad i lokacije 1,15,prodavnica,Noun (f, sg),Mağaza / dükkân,Shop / store
17,Kultura i gradske ustanove 2,1,muzej,Noun (m, sg),Müze,Museum
17,Kultura i gradske ustanove 2,2,Narodni muzej,Proper Noun,Ulusal Müze,National Museum
17,Kultura i gradske ustanove 2,3,pozorište,Noun (n, sg),Tiyatro,Theatre
17,Kultura i gradske ustanove 2,4,Narodno pozorište,Proper Noun,Ulusal Tiyatro,National Theatre
17,Kultura i gradske ustanove 2,5,bioskop,Noun (m, sg),Sinema,Cinema
17,Kultura i gradske ustanove 2,6,galerija,Noun (f, sg),Galeri,Gallery
17,Kultura i gradske ustanove 2,7,crkva,Noun (f, sg),Kilise,Church
17,Kultura i gradske ustanove 2,8,pijaca,Noun (f, sg),Pazar yeri,Market / green market
17,Kultura i gradske ustanove 2,9,sajam,Noun (m, sg),Fuar,Fair
17,Kultura i gradske ustanove 2,10,sajmovi,Noun (m, pl),Fuarlar,Fairs
17,Kultura i gradske ustanove 2,11,festival,Noun (m, sg),Festival,Festival
17,Kultura i gradske ustanove 2,12,koncert,Noun (m, sg),Konser,Concert
17,Kultura i gradske ustanove 2,13,karneval,Noun (m, sg),Karnaval,Carnival
17,Kultura i gradske ustanove 2,14,sirotište,Noun (n, sg),Yetimhane,Orphanage
17,Kultura i gradske ustanove 2,15,vrtić,Noun (m, sg),Anaokulu / kreş,Kindergarten
18,Orijentacija i pravci,1,levo,Adverb,Sola / solda,Left / to the left
18,Orijentacija i pravci,2,desno,Adverb,Sağa / sağda,Right / to the right
18,Orijentacija i pravci,3,pravo,Adverb,Dümdüz / doğru,Straight ahead
18,Orijentacija i pravci,4,nazad,Adverb,Geri / arkaya,Back / backwards
18,Orijentacija i pravci,5,ovde,Adverb,Burada,Here
18,Orijentacija i pravci,6,tamo,Adverb,Orada,There
18,Orijentacija i pravci,7,blizu,Adverb,Yakın / yakında,Near / close
18,Orijentacija i pravci,8,daleko,Adverb,Uzakta,Far / far away
18,Orijentacija i pravci,9,u blizini,Phrase,Yakınlarda,Nearby
18,Orijentacija i pravci,10,ispred,Preposition,Önünde,In front of
18,Orijentacija i pravci,11,iza,Preposition,Arkasında,Behind
18,Orijentacija i pravci,12,pored,Preposition,Yanında,Beside / next to
18,Orijentacija i pravci,13,između,Preposition,Arasında,Between / among
18,Orijentacija i pravci,14,iznad,Preposition,Üstünde / üzerinde,Above / over
18,Orijentacija i pravci,15,ispod,Preposition,Altında,Under / below
19,Putovanja i prevoz,1,putovati,Verb,Seyahat etmek,To travel
19,Putovanja i prevoz,2,putnik,Noun (m, sg),Yolcu,Passenger / traveler
19,Putovanja i prevoz,3,putnici,Noun (m, pl),Yolcular,Passengers / travelers
19,Putovanja i prevoz,4,javni prevoz,Phrase,Toplu taşıma,Public transport
19,Putovanja i prevoz,5,autobuska linija,Phrase,Otobüs hattı,Bus line
19,Putovanja i prevoz,6,aerodrom,Noun (m, sg),Havalimanı,Airport
19,Putovanja i prevoz,7,helikopter,Noun (m, sg),Helikopter,Helicopter
19,Putovanja i prevoz,8,brod,Noun (m, sg),Gemi,Ship / boat
19,Putovanja i prevoz,9,brodovi,Noun (m, pl),Gemiler,Ships / boats
19,Putovanja i prevoz,10,saobraćaj,Noun (m, sg),Trafik,Traffic
19,Putovanja i prevoz,11,voziti se,Verb,Araçla yolculuk etmek,To ride / drive
19,Putovanja i prevoz,12,dolazak,Noun (m, sg),Varış / geliş,Arrival
19,Putovanja i prevoz,13,dolasci,Noun (m, pl),Varışlar,Arrivals
19,Putovanja i prevoz,14,poslovan put,Phrase,İş seyahati,Business trip
19,Putovanja i prevoz,15,turneja,Noun (f, sg),Turne,Tour
20,Priprema za put i dokumenta,1,pasoš,Noun (m, sg),Pasaport,Passport
20,Priprema za put i dokumenta,2,pasoši,Noun (m, pl),Pasaportlar,Passports
20,Priprema za put i dokumenta,3,viza,Noun (f, sg),Vize,Visa
20,Priprema za put i dokumenta,4,vozačka dozvola,Phrase,Ehliyet / sürücü belgesi,Driver’s license
20,Priprema za put i dokumenta,5,dokument,Noun (m, sg),Belge / doküman,Document
20,Priprema za put i dokumenta,6,novac,Noun (m, sg),Para,Money
20,Priprema za put i dokumenta,7,pare,Noun (f, pl),Para,Money
20,Priprema za put i dokumenta,8,novčanik,Noun (m, sg),Cüzdan,Wallet
20,Priprema za put i dokumenta,9,novčanici,Noun (m, pl),Cüzdanlar,Wallets
20,Priprema za put i dokumenta,10,kreditna kartica,Phrase,Kredi kartı,Credit card
20,Priprema za put i dokumenta,11,kofer,Noun (m, sg),Bavul / valiz,Suitcase
20,Priprema za put i dokumenta,12,torba,Noun (f, sg),Çanta,Bag
20,Priprema za put i dokumenta,13,torbe,Noun (f, pl),Çantalar,Bags
20,Priprema za put i dokumenta,14,mapa,Noun (f, sg),Harita,Map
20,Priprema za put i dokumenta,15,turistička agencija,Phrase,Seyahat acentesi,Travel agency
21,Hotel i smeštaj,1,hotel,Noun (m, sg),Otel,Hotel
21,Hotel i smeštaj,2,smeštaj,Noun (m, sg),Konaklama,Accommodation
21,Hotel i smeštaj,3,noćenje,Noun (n, sg),Geceleme,Overnight stay
21,Hotel i smeštaj,4,polupansion,Noun (m, sg),Yarım pansiyon,Half-board
21,Hotel i smeštaj,5,jednokrevetna soba,Phrase,Tek kişilik oda,Single room
21,Hotel i smeštaj,6,dvokrevetna soba,Phrase,Çift kişilik oda,Double room
21,Hotel i smeštaj,7,rezervisati,Verb,Rezerve etmek,To book / reserve
21,Hotel i smeštaj,8,rezervisan,Adjective,Rezerve edilmiş,Booked / reserved
21,Hotel i smeštaj,9,iznajmiti,Verb,Kiralamak,To rent / lease
21,Hotel i smeštaj,10,prespavati,Verb,Geceyi geçirmek,To spend the night
21,Hotel i smeštaj,11,kamp,Noun (m, sg),Kamp,Camp / campsite
21,Hotel i smeštaj,12,kampovi,Noun (m, pl),Kamplar,Camps
21,Hotel i smeštaj,13,vila,Noun (f, sg),Villa,Villa
21,Hotel i smeštaj,14,suvenir,Noun (m, sg),Hediyelik eşya,Souvenir
21,Hotel i smeštaj,15,razglednica,Noun (f, sg),Kartpostal,Postcard
22,Stan i nekretnine,1,dom,Noun (m, sg),Ev / yuva,Home
